run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
tail_s0_L4_H2_E80_B128_T42000000,0,L4_H2_E80,4,2,80,128,4342320,7,42000000,42008576,6.362494349479675,579.6905052491297,0.5031876713037491,1094488078417920.0,9.674223917168703,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L4_H2_E80_B128_T50000000,0,L4_H2_E80,4,2,80,128,4342320,8,50000000,50003968,6.292182922363281,540.3315444524125,0.4166199788451195,1302799381954560.0,11.515495863962121,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T12000000,0,L5_H2_E96,5,2,96,128,5396352,1,12000000,12009472,6.827225971221924,922.6278630313336,0.30878172628581524,388844029476864.0,2.2254797314926824,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T16000000,0,L5_H2_E96,5,2,96,128,5396352,2,16000000,16007168,6.723157143592834,831.438342370257,0.20639473758637905,518281878306816.0,2.9662942669418153,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T20000000,0,L5_H2_E96,5,2,96,128,5396352,3,20000000,20004864,6.6183360576629635,748.698269326789,0.22086303867399693,647719727136768.0,3.7071088023909486,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T25000000,0,L5_H2_E96,5,2,96,128,5396352,4,25000000,25001984,6.529783535003662,685.2498628271942,0.29124552197754383,809517038174208.0,4.633126971702365,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T30000000,0,L5_H2_E96,5,2,96,128,5396352,5,30000000,30015488,6.447532677650452,631.143136566084,0.31730790436267853,971844832198656.0,5.562181266159064,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T36000000,0,L5_H2_E96,5,2,96,128,5396352,6,36000000,36012032,6.337700414657593,565.494412379457,0.3238874524831772,1166001605443584.0,6.673403069332764,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T42000000,0,L5_H2_E96,5,2,96,128,5396352,7,42000000,42008576,6.2590096950531,522.7010502800541,0.5665799453854561,1360158378688512.0,7.7846248725064635,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L5_H2_E96_B128_T50000000,0,L5_H2_E96,5,2,96,128,5396352,8,50000000,50003968,6.192472362518311,489.0537308699747,0.4592151679098606,1619034076348416.0,9.26625394340473,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L6_H4_E112_B128_T12000000,0,L6_H4_E112,6,4,112,128,6555248,1,12000000,12009472,6.7870688199996945,886.3118111388087,0.17263272777199745,472350403854336.0,1.8320393065220415,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L6_H4_E112_B128_T16000000,0,L6_H4_E112,6,4,112,128,6555248,2,16000000,16007168,6.647970509529114,771.217557518577,0.21990416757762432,629585736105984.0,2.441885951530743,wikitext,wikitext-103-raw-v1,gpt2
tail_s0_L6_H4_E112_B128_T20000000,0,L6_H4_E112,6,4,112,128,6555248,3,20000000,20004864,6.53324282169342,687.6244433662738,0.23835679702460766,786821068357632.0,3.0517325965394444,wikitext,wikitext-103-raw-v1,gpt2
