run_name,seed,model_id,n_layer,n_head,n_embd,batch_size,n_params,checkpoint_idx,checkpoint_tokens_target,train_tokens_real,val_loss,val_ppl,mu_landscape,flops_estimate,d_over_n,dataset_name,dataset_config,tokenizer_name
few_s0_L2_H2_E48_B128_T5455000,0,L2_H2_E48,2,2,48,128,2475120,23,5455000,5455872,7.848240303993225,2561.223374510639,0.006303076457697898,81023627427840.0,2.2042858528071365,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T7039000,0,L2_H2_E48,2,2,48,128,2475120,24,7039000,7045120,7.494899582862854,1798.8441214468862,0.007624241698067635,104625104486400.0,2.846375125246453,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T9083000,0,L2_H2_E48,2,2,48,128,2475120,25,9083000,9093120,7.437314891815186,1698.1842853543287,0.05337820993736386,135039379046400.0,3.673809754678561,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T11720000,0,L2_H2_E48,2,2,48,128,2475120,26,11720000,11730944,7.354897904396057,1563.8373263273488,0.10251582227647305,174212964679680.0,4.739545557387117,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T15123000,0,L2_H2_E48,2,2,48,128,2475120,27,15123000,15138816,7.224789476394653,1373.0495258636433,0.09237709827721119,224822317547520.0,6.116396780762145,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T19515000,0,L2_H2_E48,2,2,48,128,2475120,28,19515000,19529728,7.06304452419281,1167.9957494275507,0.1858106590807438,290030522204160.0,7.890416626264585,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T25181000,0,L2_H2_E48,2,2,48,128,2475120,29,25181000,25182208,6.896840906143188,989.1449728251524,0.3024622593075037,373973919989760.0,10.174136203497204,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T32493000,0,L2_H2_E48,2,2,48,128,2475120,30,32493000,32505856,6.771491956710816,872.6128238424214,0.34459705650806427,482735365816320.0,13.133042438346424,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T41929000,0,L2_H2_E48,2,2,48,128,2475120,31,41929000,41943040,6.662709474563599,782.6686877366686,0.9572356939315796,622884342988800.0,16.94586121076958,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T54104000,0,L2_H2_E48,2,2,48,128,2475120,32,54104000,54116352,6.578850603103637,719.7116193551303,0.77932333573699,803666790973440.0,21.86413264811403,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T69814000,0,L2_H2_E48,2,2,48,128,2475120,33,69814000,69828608,6.489956641197205,658.4948110495774,0.5694495253264904,1037005105397760.0,28.212211125117165,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T90086000,0,L2_H2_E48,2,2,48,128,2475120,34,90086000,90095616,6.433292865753174,622.2194635228327,0.7925232797861099,1337984766443520.0,36.40050421797731,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T116245000,0,L2_H2_E48,2,2,48,128,2475120,35,116245000,116260864,6.364129996299743,580.639450038365,0.9488583654165268,1726557538222080.0,46.97180904360193,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L2_H2_E48_B128_T150000000,0,L2_H2_E48,2,2,48,128,2475120,36,150000000,150011904,6.35916051864624,577.7611330561223,1.2134563773870468,2227784782970880.0,60.607931736643074,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T20000,0,L5_H2_E96,5,2,96,128,5396352,1,20000,32768,10.841083288192749,51076.67878658071,0.18919857777655125,1060965974016.0,0.006072250290566664,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T26000,0,L5_H2_E96,5,2,96,128,5396352,2,26000,32768,10.840607309341431,51052.37315262548,0.1773831881582737,1060965974016.0,0.006072250290566664,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T33000,0,L5_H2_E96,5,2,96,128,5396352,3,33000,49152,10.839397668838501,50990.65546991934,0.1811529826372862,1591448961024.0,0.009108375435849997,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T43000,0,L5_H2_E96,5,2,96,128,5396352,4,43000,49152,10.839411544799805,50991.36301919048,0.17490183003246784,1591448961024.0,0.009108375435849997,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T55000,0,L5_H2_E96,5,2,96,128,5396352,5,55000,65536,10.837024450302124,50869.786981573896,0.18232362903654575,2121931948032.0,0.012144500581133328,wikitext,wikitext-103-raw-v1,gpt2
few_s0_L5_H2_E96_B128_T72000,0,L5_H2_E96,5,2,96,128,5396352,6,72000,81920,10.835482215881347,50791.394310589094,0.16953263990581036,2652414935040.0,0.015180625726416661,wikitext,wikitext-103-raw-v1,gpt2
